Release Date,Time,Actual,Forecast,Previous
27-Jun-18,2:00,-9.228M,-2.500M,-3.016M
20-Jun-18,2:00,-3.016M,-,0.833M
13-Jun-18,2:00,0.833M,-2.700M,-2.028M
6-Jun-18,2:00,-2.028M,-,1.001M
31-May-18,2:00,1.001M,-,-1.300M
23-May-18,2:05,-1.300M,-2.800M,4.854M
16-May-18,2:00,4.854M,-,-1.850M
9-May-18,2:00,-1.850M,-,3.427M
2-May-18,2:00,3.427M,-,1.099M
25-Apr-18,2:00,1.099M,-2.000M,-1.047M
18-Apr-18,2:00,-1.047M,0.625M,1.758M
11-Apr-18,2:00,1.758M,0.100M,-3.280M
4-Apr-18,2:00,-3.280M,1.700M,5.321M
28-Mar-18,2:05,5.321M,1.000M,-2.739M
21-Mar-18,2:00,-2.739M,3.200M,1.156M
14-Mar-18,2:00,1.156M,1.500M,5.661M
7-Mar-18,3:00,5.661M,2.700M,0.933M
28-Feb-18,3:00,0.933M,2.700M,-0.907M
22-Feb-18,3:05,-0.907M,1.300M,3.947M
14-Feb-18,3:05,3.947M,2.800M,-1.050M
7-Feb-18,3:05,-1.050M,2.500M,3.229M
31-Jan-18,3:05,3.229M,1.500M,4.755M
24-Jan-18,3:05,4.755M,-1.600M,-5.121M
18-Jan-18,3:05,-5.121M,-3.600M,-11.190M
10-Jan-18,3:05,-11.190M,-3.900M,-4.992M
4-Jan-18,3:00,-4.992M,-5.250M,-6.000M
28-Dec-17,3:10,-6.000M,-3.800M,-5.222M
20-Dec-17,3:05,-5.222M,-3.200M,-7.382M
13-Dec-17,3:05,-7.382M,-4.000M,-5.481M
6-Dec-17,3:05,-5.481M,-4.100M,1.821M
29-Nov-17,3:05,1.821M,-2.500M,-6.356M
22-Nov-17,3:05,-6.356M,-1.500M,6.513M
15-Nov-17,3:05,6.513M,-2.200M,-1.562M
8-Nov-17,3:00,-1.562M,-2.700M,-5.087M
1-Nov-17,2:00,-5.087M,-2.100M,0.591M
25-Oct-17,2:00,0.591M,-0.425M,-7.130M
18-Oct-17,2:00,-7.130M,-4.200M,3.097M
